text,translated,processed
"Jalur Naik Turun Penumpang di Stasiun Tanah Abang Diubah Mulai Besok, Simak Detailnya","Jalur Naik Turun Penumpang di Stasiun Tanah Abang Diubah Mulai Besok, Simak Detailnya",jalur naik turun tumpang stasiun tanah abang ubah mulai besok simak detail
"Demo Peringati Hari Tani, Massa Tuntut Pemerintah Selesaikan Konflik Agraria","Demo Peringati Hari Tani, Massa Tuntut Pemerintah Selesaikan Konflik Agraria",demo ingat hari tani massa tuntut perintah selesai konflik agraria
Mengapa Demokrasi Indonesia Terus Merosot,Mengapa Demokrasi Indonesia Terus Merosot,demokrasi indonesia terus merosot
Jangan Lakukan 4 Hal Ini Selama di Pesawat,Jangan Lakukan 4 Hal Ini Selama di Pesawat,jangan laku 4 lama pesawat
"Jaksa Klarifikasi 10 Tas ""Branded"" kepada Sandra Dewi dalam Sidang","Jaksa Klarifikasi 10 Tas ""Branded"" kepada Sandra Dewi dalam Sidang",jaksa klarifikasi 10 tas branded sandra dewi sidang
"Banjir di Tangsel Kian Naik, Warga Ciputat Bertahan di Rumah","Banjir di Tangsel Kian Naik, Warga Ciputat Bertahan di Rumah",banjir tangsel kian naik warga ciputat tahan rumah
Israel Sebut Hizbullah Tembakkan 160 Proyektil dari Lebanon,Israel Sebut Hizbullah Tembakkan 160 Proyektil dari Lebanon,israel sebut hizbullah tembak 160 proyektil lebanon
"Usai Bertemu Istana, BEM SI Kerakyatan Belum Pasti Demo Hari Ini","Usai Bertemu Istana, BEM SI Kerakyatan Belum Pasti Demo Hari Ini",usai temu istana bem si rakyat demo hari
Tim Advokasi Protes Penangkapan Aktivis Aksi Kamisan Yogya,Tim Advokasi Protes Penangkapan Aktivis Aksi Kamisan Yogya,tim advokasi protes tangkap aktivis aksi kamis yogya
Menhub Minta Masyarakat Tak Gunakan Travel Gelap untuk Mudik Lebaran,Menhub Minta Masyarakat Tak Gunakan Travel Gelap untuk Mudik Lebaran,menhub minta masyarakat tak guna travel gelap mudik lebaran
